application_id,age,employment_status,annual_income,credit_score,existing_debt,debt_to_income_ratio,missed_payments_12m,postal_code,region_income_band,years_at_address,requested_limit,prior_customer,application_channel,postal_penalty,model_score,decision
APP-00113,34,Part-time,89558,643,7725,0.086,0,L4W,High,10,10000,No,Branch,0.0,0.652,Approved
APP-00114,47,Full-time,64199,819,2988,0.047,0,L6A,High,11,7000,No,Mobile,0.0,0.749,Approved
APP-00115,49,Full-time,45901,598,15101,0.329,2,K2P,Medium,13,5000,Yes,Online,0.0,0.332,Rejected
APP-00116,59,Part-time,49928,671,13607,0.273,0,M2N,High,10,10000,No,Branch,0.0,0.426,Rejected
APP-00117,59,Full-time,62153,713,23893,0.384,0,L6A,High,15,10000,No,Online,0.0,0.562,Approved
APP-00118,21,Full-time,55084,736,21135,0.384,2,L8W,Low,12,5000,No,Online,-0.48,0.268,Rejected
APP-00119,37,Contract,83913,734,7765,0.093,0,M2N,High,8,7000,Yes,Branch,0.0,0.732,Approved
APP-00120,61,Full-time,51960,817,20614,0.397,0,L5N,Medium,6,5000,No,Online,0.0,0.542,Approved
APP-00121,50,Full-time,75331,692,4595,0.061,0,L6A,High,10,5000,Yes,Mobile,0.0,0.687,Approved
APP-00122,33,Full-time,62002,650,8272,0.133,1,M2N,High,4,3000,No,Online,0.0,0.445,Rejected
APP-00123,41,Contract,50594,678,15329,0.303,0,M4B,Medium,6,5000,Yes,Online,0.0,0.495,Rejected
APP-00124,39,Part-time,54553,664,7777,0.143,0,M3J,Low,9,1000,No,Online,-0.52,0.382,Rejected
APP-00125,39,Full-time,66558,678,23153,0.348,0,K1X,Low,6,3000,Yes,Online,-0.55,0.429,Rejected
APP-00126,45,Part-time,80469,636,30455,0.378,0,K2C,Medium,5,7000,Yes,Online,0.0,0.505,Approved
APP-00127,42,Full-time,62964,741,11238,0.178,1,L6A,High,6,15000,No,Mobile,0.0,0.524,Approved
APP-00128,51,Contract,45829,718,8738,0.191,0,M2N,High,3,15000,Yes,Mobile,0.0,0.534,Approved
APP-00129,37,Full-time,78495,612,14793,0.188,0,M6E,Low,3,5000,Yes,Mobile,-0.58,0.395,Rejected
APP-00130,43,Full-time,47833,743,10598,0.222,0,L5N,Medium,9,5000,Yes,Online,0.0,0.551,Approved
APP-00131,52,Unemployed,68695,645,16332,0.238,0,K2C,Medium,1,2000,No,Mobile,0.0,0.469,Rejected
APP-00132,30,Full-time,60053,617,6443,0.107,0,K1X,Low,10,7000,No,Mobile,-0.55,0.384,Rejected
APP-00133,30,Full-time,57646,687,17930,0.311,0,M3J,Low,3,1000,Yes,Online,-0.52,0.413,Rejected
APP-00134,56,Part-time,55234,593,27883,0.505,0,M4B,Medium,4,3000,No,Online,0.0,0.318,Rejected
APP-00135,28,Unemployed,78663,730,0,0.0,3,L4W,High,7,7000,Yes,Online,0.0,0.542,Approved
APP-00136,40,Full-time,18000,534,6319,0.351,0,M4B,Medium,15,3000,No,Online,0.0,0.188,Rejected
APP-00137,52,Full-time,84456,633,11385,0.135,0,L5N,Medium,3,1000,No,Mobile,0.0,0.628,Approved
APP-00138,70,Full-time,51075,785,17093,0.335,0,M5V,High,14,10000,No,Branch,0.0,0.574,Approved
APP-00139,34,Full-time,71343,652,20733,0.291,0,M4B,Medium,10,3000,No,Branch,0.0,0.58,Approved
APP-00140,70,Full-time,73890,670,18970,0.257,2,M9C,High,6,1000,Yes,Online,0.0,0.466,Rejected
APP-00141,48,Part-time,90450,768,1458,0.016,0,M9C,High,9,1000,Yes,Online,0.0,0.809,Approved
APP-00142,66,Unemployed,64059,638,10980,0.171,0,K1X,Low,2,3000,No,Online,-0.55,0.367,Rejected
APP-00143,44,Full-time,49076,732,8198,0.167,1,L5N,Medium,10,2000,Yes,Mobile,0.0,0.501,Approved
APP-00144,35,Full-time,35114,755,14044,0.4,0,M4B,Medium,13,7000,Yes,Online,0.0,0.406,Rejected
APP-00145,42,Full-time,57722,716,14628,0.253,0,M4B,Medium,5,3000,Yes,Mobile,0.0,0.53,Approved
APP-00146,50,Full-time,25253,603,6115,0.242,0,M6E,Low,11,7000,Yes,Online,-0.58,0.204,Rejected
APP-00147,24,Contract,52687,657,11423,0.217,0,M4C,Medium,11,2000,No,Branch,0.0,0.53,Approved
APP-00148,33,Full-time,58733,839,18564,0.316,1,L5N,Medium,8,5000,Yes,Branch,0.0,0.688,Approved
APP-00149,43,Full-time,48082,655,11302,0.235,0,M6E,Low,8,7000,Yes,Mobile,-0.58,0.307,Rejected
APP-00150,28,Part-time,61252,842,14298,0.233,0,K1X,Low,10,7000,No,Online,-0.55,0.552,Approved
APP-00151,38,Full-time,63250,792,25178,0.398,0,L4W,High,16,5000,Yes,Online,0.0,0.62,Approved
APP-00152,32,Part-time,54602,711,29630,0.543,0,K1X,Low,0,10000,No,Online,-0.55,0.268,Rejected
APP-00153,51,Full-time,18000,698,1200,0.067,4,M3J,Low,6,3000,Yes,Mobile,-0.52,0.148,Rejected
APP-00154,34,Contract,40695,664,15297,0.376,0,L5N,Medium,0,5000,No,Online,0.0,0.308,Rejected
APP-00155,54,Unemployed,79068,693,33719,0.426,3,M9C,High,16,10000,Yes,Online,0.0,0.342,Rejected
APP-00156,38,Part-time,74977,644,19052,0.254,0,K1X,Low,2,1000,Yes,Online,-0.55,0.411,Rejected
APP-00157,54,Unemployed,30902,687,14629,0.473,1,K2P,Medium,2,1000,No,Online,0.0,0.277,Rejected
APP-00158,31,Full-time,52835,623,22489,0.426,0,M5V,High,4,3000,No,Mobile,0.0,0.348,Rejected
APP-00159,61,Full-time,79795,604,17227,0.216,0,K1X,Low,12,5000,No,Mobile,-0.55,0.372,Rejected
APP-00160,32,Part-time,54575,770,18264,0.335,2,M5V,High,7,3000,No,Online,0.0,0.472,Rejected
APP-00161,69,Part-time,61993,601,13028,0.21,2,M4B,Medium,12,2000,Yes,Mobile,0.0,0.393,Rejected
APP-00162,35,Full-time,89952,739,15925,0.177,0,K2P,Medium,13,5000,Yes,Branch,0.0,0.723,Approved
APP-00163,51,Full-time,57492,586,17486,0.304,0,K2P,Medium,8,5000,Yes,Online,0.0,0.444,Rejected
APP-00164,69,Full-time,54915,725,20559,0.374,1,L5N,Medium,8,3000,Yes,Mobile,0.0,0.507,Approved
APP-00165,49,Full-time,57673,671,12678,0.22,2,M3J,Low,8,3000,Yes,Branch,-0.52,0.306,Rejected
APP-00166,46,Full-time,100861,771,10088,0.1,0,L6A,High,1,5000,No,Online,0.0,0.816,Approved
APP-00167,38,Contract,72032,672,1008,0.014,1,M4B,Medium,14,15000,No,Branch,0.0,0.577,Approved
APP-00168,52,Full-time,60843,571,12990,0.214,1,L8W,Low,8,7000,No,Online,-0.48,0.275,Rejected
APP-00169,42,Full-time,51062,672,22371,0.438,1,M6E,Low,0,7000,No,Online,-0.58,0.211,Rejected
APP-00170,58,Full-time,73699,699,17743,0.241,0,M4C,Medium,8,3000,No,Branch,0.0,0.623,Approved
APP-00171,37,Part-time,75875,683,7523,0.099,0,K2P,Medium,3,3000,Yes,Mobile,0.0,0.673,Approved
APP-00172,43,Contract,41183,714,2373,0.058,3,M6E,Low,10,5000,No,Branch,-0.58,0.227,Rejected
APP-00173,44,Part-time,76359,659,13503,0.177,1,L5N,Medium,12,7000,No,Online,0.0,0.567,Approved
APP-00174,70,Full-time,57779,613,22166,0.384,1,K1X,Low,12,5000,Yes,Mobile,-0.55,0.271,Rejected
APP-00175,28,Contract,64446,635,11148,0.173,0,K2P,Medium,2,10000,Yes,Online,0.0,0.501,Approved
APP-00176,61,Full-time,44583,654,5586,0.125,1,L8W,Low,11,15000,No,Online,-0.48,0.278,Rejected
APP-00177,26,Full-time,60300,669,9173,0.152,0,M5V,High,9,1000,No,Online,0.0,0.56,Approved
APP-00178,25,Part-time,45457,822,16783,0.369,0,K2C,Medium,4,1000,Yes,Online,0.0,0.58,Approved
APP-00179,64,Contract,48092,767,21997,0.457,1,L4W,High,12,2000,No,Online,0.0,0.471,Rejected
APP-00180,49,Full-time,67288,720,13903,0.207,1,M3J,Low,4,5000,Yes,Branch,-0.52,0.447,Rejected
APP-00181,48,Full-time,57608,715,21884,0.38,1,M4B,Medium,0,2000,No,Mobile,0.0,0.39,Rejected
APP-00182,31,Full-time,37107,698,22308,0.601,0,M3J,Low,14,10000,Yes,Mobile,-0.52,0.202,Rejected
APP-00183,21,Full-time,106687,715,5063,0.047,0,L4W,High,1,1000,Yes,Mobile,0.0,0.817,Approved
APP-00184,63,Full-time,47256,707,22055,0.467,0,M2N,High,13,3000,No,Online,0.0,0.544,Approved
APP-00185,39,Part-time,80158,684,17766,0.222,0,K1X,Low,12,2000,No,Branch,-0.55,0.491,Rejected
APP-00186,29,Full-time,37424,575,6053,0.162,0,K2P,Medium,15,10000,No,Mobile,0.0,0.337,Rejected
APP-00187,47,Unemployed,75717,678,25626,0.338,1,L6A,High,7,7000,Yes,Online,0.0,0.514,Approved
APP-00188,54,Contract,59490,677,13621,0.229,1,M4C,Medium,9,10000,No,Mobile,0.0,0.411,Rejected
APP-00189,64,Part-time,52677,649,896,0.017,1,L5N,Medium,14,15000,Yes,Online,0.0,0.526,Approved
APP-00190,24,Contract,64041,651,10756,0.168,0,K1X,Low,6,5000,Yes,Online,-0.55,0.426,Rejected
APP-00191,56,Full-time,61621,699,9033,0.147,1,M3J,Low,14,3000,No,Online,-0.52,0.413,Rejected
APP-00192,38,Full-time,52876,740,8528,0.161,1,M2N,High,11,2000,Yes,Branch,0.0,0.538,Approved
APP-00193,35,Part-time,52061,714,10184,0.196,1,L4W,High,8,3000,Yes,Branch,0.0,0.531,Approved
APP-00194,33,Contract,35670,731,12698,0.356,1,K2P,Medium,13,7000,Yes,Online,0.0,0.372,Rejected
APP-00195,39,Contract,69500,732,12435,0.179,0,M4B,Medium,12,1000,No,Branch,0.0,0.675,Approved
APP-00196,69,Full-time,41432,674,13818,0.334,0,M4B,Medium,6,1000,No,Mobile,0.0,0.43,Rejected
APP-00197,26,Unemployed,67572,727,17412,0.258,0,M5V,High,13,5000,No,Mobile,0.0,0.629,Approved
APP-00198,68,Full-time,78165,602,8075,0.103,0,M2N,High,11,5000,No,Online,0.0,0.599,Approved
APP-00199,32,Contract,71245,677,21567,0.303,1,M2N,High,9,7000,No,Online,0.0,0.595,Approved
APP-00200,57,Unemployed,54484,670,4724,0.087,0,L6A,High,1,5000,No,Branch,0.0,0.502,Approved
APP-00201,37,Full-time,80359,774,18806,0.234,3,K2P,Medium,1,7000,No,Online,0.0,0.491,Rejected
APP-00202,43,Contract,53157,701,27203,0.512,3,M3J,Low,11,5000,Yes,Online,-0.52,0.175,Rejected
APP-00203,46,Full-time,36485,609,14459,0.396,2,L8W,Low,1,2000,No,Online,-0.48,0.147,Rejected
APP-00204,49,Full-time,62393,731,14654,0.235,2,M2N,High,13,7000,Yes,Mobile,0.0,0.483,Rejected
APP-00205,53,Full-time,74562,740,7724,0.104,0,M4C,Medium,11,15000,No,Mobile,0.0,0.651,Approved
APP-00206,47,Part-time,48361,677,12118,0.251,2,M6E,Low,11,1000,Yes,Online,-0.58,0.242,Rejected
APP-00207,45,Unemployed,76307,720,26674,0.35,1,M3J,Low,3,5000,No,Online,-0.52,0.353,Rejected
APP-00208,30,Part-time,50134,553,19739,0.394,0,K2P,Medium,3,5000,No,Branch,0.0,0.359,Rejected
APP-00209,67,Full-time,49084,534,18630,0.38,1,M6E,Low,2,2000,No,Online,-0.58,0.153,Rejected
APP-00210,43,Contract,41671,617,2134,0.051,0,L8W,Low,13,10000,No,Online,-0.48,0.299,Rejected
APP-00211,41,Unemployed,76307,698,9485,0.124,4,M4C,Medium,7,3000,Yes,Online,0.0,0.437,Rejected
APP-00212,41,Full-time,66542,782,25473,0.383,1,M5V,High,8,7000,No,Online,0.0,0.553,Approved
APP-00213,63,Unemployed,46364,628,17376,0.375,1,K2P,Medium,10,7000,Yes,Online,0.0,0.357,Rejected
APP-00214,33,Full-time,53368,635,19449,0.364,0,K1X,Low,5,5000,Yes,Branch,-0.55,0.365,Rejected
APP-00215,57,Contract,21500,703,14494,0.674,1,M5V,High,1,2000,Yes,Branch,0.0,0.168,Rejected
APP-00216,53,Full-time,74504,655,11409,0.153,0,K1X,Low,8,3000,Yes,Online,-0.55,0.409,Rejected
APP-00217,44,Full-time,60927,660,16828,0.276,2,M4B,Medium,14,1000,No,Online,0.0,0.473,Rejected
APP-00218,64,Full-time,24188,675,2589,0.107,0,M5V,High,4,3000,No,Online,0.0,0.376,Rejected
APP-00219,31,Part-time,37780,762,3262,0.086,1,K2P,Medium,0,3000,No,Branch,0.0,0.392,Rejected
APP-00220,37,Full-time,59911,759,8153,0.136,0,M2N,High,16,10000,Yes,Online,0.0,0.644,Approved
APP-00221,24,Full-time,40345,691,15845,0.393,0,K2P,Medium,10,3000,Yes,Online,0.0,0.411,Rejected
APP-00222,67,Part-time,78280,781,3512,0.045,0,M4C,Medium,13,7000,Yes,Branch,0.0,0.745,Approved
APP-00223,45,Contract,68034,710,16589,0.244,0,M3J,Low,3,5000,Yes,Mobile,-0.52,0.486,Rejected
APP-00224,50,Full-time,70472,753,7538,0.107,1,M4B,Medium,2,7000,Yes,Online,0.0,0.608,Approved
APP-00225,29,Full-time,18000,635,9681,0.538,0,K1X,Low,1,15000,Yes,Online,-0.55,0.104,Rejected
APP-00226,41,Full-time,51042,646,24797,0.486,0,K1X,Low,2,3000,No,Mobile,-0.55,0.243,Rejected
APP-00227,40,Full-time,54943,661,13561,0.247,0,M9C,High,2,10000,No,Mobile,0.0,0.414,Rejected
APP-00228,39,Contract,46827,685,8173,0.175,0,K2C,Medium,6,5000,No,Online,0.0,0.467,Rejected
APP-00229,39,Contract,60027,701,14608,0.243,0,M2N,High,12,10000,Yes,Mobile,0.0,0.552,Approved
APP-00230,32,Part-time,43728,708,4213,0.096,1,K2P,Medium,12,7000,No,Branch,0.0,0.493,Rejected
APP-00231,57,Full-time,71374,807,15976,0.224,0,L6A,High,4,5000,No,Mobile,0.0,0.671,Approved
APP-00232,62,Contract,77798,730,22251,0.286,0,L5N,Medium,4,3000,Yes,Online,0.0,0.664,Approved
APP-00233,37,Full-time,76247,662,19132,0.251,0,M4C,Medium,11,1000,Yes,Mobile,0.0,0.572,Approved
APP-00234,57,Contract,61518,690,29604,0.481,0,L5N,Medium,13,5000,Yes,Mobile,0.0,0.523,Approved
APP-00235,68,Part-time,96486,765,2131,0.022,0,L8W,Low,14,15000,Yes,Online,-0.48,0.751,Approved
APP-00236,59,Contract,88020,741,14189,0.161,0,M5V,High,2,7000,No,Mobile,0.0,0.68,Approved
